sistema,uf,competencia,cnes,procedimento,qtd,valor
SIH,AC,202501,2002078,0406010820,2.0,44935.07
SIH,AC,202501,2002078,0406030030,19.0,99507.69
SIH,AC,202501,2002078,0406030022,9.0,63862.66
SIH,AC,202501,2002078,0406011125,1.0,6165.86
SIH,AC,202501,2002078,0406010943,7.0,192632.75
SIH,AC,202501,2002078,0406011206,1.0,31754.13
SIH,AC,202501,2001578,0406020515,1.0,2563.31
SIH,AC,202501,2001586,0406020078,2.0,2140.76
SIH,AC,202501,5336171,0406020493,1.0,719.8
SIH,AC,202501,2002078,0406010838,2.0,36202.92
SIH,AC,202501,2002078,0406010650,2.0,17336.14
SIH,AC,202501,2002078,0406010676,1.0,6591.72
SIH,AC,202501,5336171,0406010684,1.0,669.52
SIH,AC,202501,2002078,0406011133,1.0,5248.62
SIH,AC,202501,2002078,0406011184,1.0,7250.33
SIH,AC,202501,2001586,0406020566,1.0,833.48
SIH,AC,202501,2002078,0406010692,1.0,22656.85
SIH,AC,202501,2002078,0406010536,1.0,13746.65
SIH,AC,202502,2002078,0406030022,27.0,202835.65
SIH,AC,202502,2002078,0406030030,25.0,129172.93
SIH,AC,202502,2002078,0406011125,1.0,6165.86
SIH,AC,202502,2002078,0406010692,4.0,87072.05
SIH,AC,202502,2002078,0406010943,5.0,119632.36
SIH,AC,202502,2002078,0406010650,4.0,39038.53
SIH,AC,202502,2002078,0406011427,1.0,8874.62
SIH,AC,202502,2002078,0406011184,1.0,8627.46
SIH,AC,202502,2002078,0406030014,1.0,3872.53
SIH,AC,202502,2002078,0406010838,1.0,31970.24
SIH,AC,202502,2001586,0406020566,2.0,1666.96
SIH,AC,202502,2001586,0406020078,3.0,1285.92
SIH,AC,202502,2001586,0406020256,1.0,1425.61
SIH,AC,202502,2001586,0406020221,1.0,595.09
SIH,AC,202502,2001586,0406020264,1.0,700.86
SIH,AC,202502,2001578,0406020515,1.0,1094.16
SIH,AC,202503,2001586,0406020566,19.0,17934.92
SIH,AC,202503,2002078,0406030022,22.0,125353.73
SIH,AC,202503,2002078,0406010650,8.0,67915.91
SIH,AC,202503,2001586,0406020078,3.0,1326.32
SIH,AC,202503,2002078,0406030030,17.0,77581.13
SIH,AC,202503,2001586,0406020221,1.0,530.29
SIH,AC,202503,2002078,0406010943,7.0,147250.74
SIH,AC,202503,2002078,0406011427,1.0,11592.12
SIH,AC,202503,2001586,0406020116,1.0,96.85
SIH,AC,202503,2001586,0406020574,2.0,1974.36
SIH,AC,202503,2002078,0406010773,1.0,242.97
SIH,AC,202503,2001578,0406020515,1.0,845.93
SIH,AC,202503,2002078,0406010765,1.0,8299.21
SIH,AC,202503,2002078,0406030014,1.0,2609.03
SIH,AC,202503,2002078,0406010692,1.0,17050.19
SIH,AC,202504,2001586,0406020078,3.0,1301.92
SIH,AC,202504,2001586,0406020566,32.0,26751.36
SIH,AC,202504,2002078,0406010650,4.0,39209.44
SIH,AC,202504,2002078,0406010358,1.0,11769.25
SIH,AC,202504,2002078,0406030022,11.0,82041.09
SIH,AC,202504,2002078,0406030030,29.0,137731.53
SIH,AC,202504,2002078,0406010943,9.0,185559.81
SIH,AC,202504,2001578,0406020507,1.0,653.35
SIH,AC,202504,2002078,0406011206,4.0,85893.24
