UF,estab_com_tc,tc_existentes,tc_em_uso,estab_sus,tc_sus_exist,tc_sus_uso,pct_disp_sus,populacao,tc_sus_por_milhao
RR,7,7,7,3,3,3,42.9,738772,4.06
AM,39,45,44,21,23,22,50.0,4321616,5.09
RN,42,46,45,25,28,28,62.2,3455236,8.1
BA,231,251,249,121,131,129,51.8,14870907,8.67
CE,174,178,174,81,85,82,47.1,9268836,8.85
AC,15,18,17,5,8,8,47.1,884372,9.05
SP,1087,1236,1201,392,458,446,37.1,46081801,9.68
PA,187,202,197,83,90,87,44.2,8711196,9.99
PE,156,183,176,95,107,105,59.7,9562007,10.98
RJ,529,616,590,177,208,200,33.9,17223547,11.61
SE,34,42,38,23,30,27,71.1,2299425,11.74
DF,121,161,156,31,37,37,23.7,2996899,12.35
MS,67,68,65,37,37,37,56.9,2924631,12.65
AL,64,70,69,36,41,41,59.4,3220848,12.73
ES,119,127,126,52,58,58,46.0,4126854,14.05
MA,193,199,195,101,103,103,52.8,7018211,14.68
PR,347,379,369,164,177,175,47.4,11890517,14.72
MG,645,693,679,328,361,353,52.0,21393441,16.5
RS,375,408,396,174,196,189,47.7,11233263,16.83
PI,90,100,100,57,65,65,65.0,3384547,19.2
RO,72,86,73,34,36,34,46.6,1751950,19.41
PB,127,135,130,78,83,82,63.1,4164468,19.69
SC,276,296,284,160,174,166,58.5,8187029,20.28
GO,259,275,266,150,159,156,58.6,7423629,21.01
AP,25,27,27,17,19,19,70.4,806517,23.56
MT,157,162,161,92,94,94,58.4,3893659,24.14
TO,53,57,57,36,39,39,68.4,1586859,24.58
