UF,teto_estab,teto_equip,piso_estab,pct_piso,populacao,teto_por_mi,piso_por_mi
AC,5,8,0,0.0,884372,9.05,0.0
AL,36,41,6,16.7,3220848,12.73,1.86
AM,21,22,0,0.0,4321616,5.09,0.0
AP,17,19,3,17.6,806517,23.56,3.72
BA,120,129,4,3.3,14870907,8.67,0.27
CE,80,82,7,8.8,9268836,8.85,0.76
DF,31,37,3,9.7,2996899,12.35,1.0
ES,51,58,6,11.8,4126854,14.05,1.45
GO,148,156,16,10.8,7423629,21.01,2.16
MA,101,103,6,5.9,7018211,14.68,0.85
MG,323,353,24,7.4,21393441,16.5,1.12
MS,37,37,3,8.1,2924631,12.65,1.03
MT,92,94,6,6.5,3893659,24.14,1.54
PA,82,87,6,7.3,8711196,9.99,0.69
PB,77,82,10,13.0,4164468,19.69,2.4
PE,94,105,14,14.9,9562007,10.98,1.46
PI,57,65,3,5.3,3384547,19.2,0.89
PR,162,175,12,7.4,11890517,14.72,1.01
RJ,173,200,14,8.1,17223547,11.61,0.81
RN,25,28,3,12.0,3455236,8.1,0.87
RO,32,34,5,15.6,1751950,19.41,2.85
RR,3,3,0,0.0,738772,4.06,0.0
RS,171,189,12,7.0,11233263,16.83,1.07
SC,154,166,14,9.1,8187029,20.28,1.71
SE,21,27,2,9.5,2299425,11.74,0.87
SP,385,446,32,8.3,46081801,9.68,0.69
TO,36,39,5,13.9,1586859,24.58,3.15
