UF,ge64_equip,ge64_estab,sub64_estab,gen_estab,ready,populacao,ge64_por_mi,all_tc_por_mi
AC,1,1,2,5,0,884372,1.13,12.44
AL,1,1,2,36,0,3220848,0.31,13.66
AM,6,5,9,21,0,4321616,1.39,8.79
AP,0,0,3,17,0,806517,0.0,27.28
BA,23,20,50,120,3,14870907,1.55,13.79
CE,5,4,25,80,2,9268836,0.54,12.84
DF,18,14,27,31,1,2996899,6.01,28.7
ES,2,2,5,51,1,4126854,0.48,15.75
GO,8,8,36,148,0,7423629,1.08,26.94
MA,6,6,13,101,1,7018211,0.85,17.38
MG,38,33,61,323,9,21393441,1.78,21.6
MS,4,4,8,37,3,2924631,1.37,16.75
MT,5,5,18,92,0,3893659,1.28,30.05
PA,13,13,29,82,0,8711196,1.49,15.04
PB,4,3,10,77,2,4164468,0.96,23.53
PE,15,10,17,94,6,9562007,1.57,14.33
PI,0,0,5,57,0,3384547,0.0,20.68
PR,23,19,45,162,10,11890517,1.93,20.86
RJ,43,34,69,173,4,17223547,2.5,18.52
RN,4,4,13,25,1,3455236,1.16,13.6
RO,7,7,12,32,0,1751950,4.0,30.25
RR,1,1,5,3,0,738772,1.35,14.89
RS,23,20,49,171,10,11233263,2.05,23.23
SC,16,13,20,154,3,8187029,1.95,24.8
SE,2,2,4,21,0,2299425,0.87,14.35
SP,164,86,133,385,23,46081801,3.56,16.49
TO,0,0,2,36,0,1586859,0.0,26.47
