UF,teto_estab,teto_equip,piso_estab,pct_piso,populacao,teto_por_mi,piso_por_mi,exames_func,cateterismo,exames_por_tc_ano
AC,5,8,0,0.0,884372,9.05,0.0,2491.0,713.0,311.4
AL,36,41,6,16.7,3220848,12.73,1.86,10049.0,1430.0,245.1
AM,21,22,0,0.0,4321616,5.09,0.0,11594.0,1903.0,527.0
AP,17,19,3,17.6,806517,23.56,3.72,2677.0,1568.0,140.9
BA,120,129,4,3.3,14870907,8.67,0.27,45861.0,8546.0,355.5
CE,80,82,7,8.8,9268836,8.85,0.76,14218.0,2128.0,173.4
DF,31,37,3,9.7,2996899,12.35,1.0,5454.0,4055.0,147.4
ES,51,58,6,11.8,4126854,14.05,1.45,26273.0,5039.0,453.0
GO,148,156,16,10.8,7423629,21.01,2.16,47523.0,2776.0,304.6
MA,101,103,6,5.9,7018211,14.68,0.85,11387.0,3134.0,110.6
MG,323,353,24,7.4,21393441,16.5,1.12,67639.0,13501.0,191.6
MS,37,37,3,8.1,2924631,12.65,1.03,10472.0,768.0,283.0
MT,92,94,6,6.5,3893659,24.14,1.54,12227.0,1984.0,130.1
PA,82,87,6,7.3,8711196,9.99,0.69,20652.0,2481.0,237.4
PB,77,82,10,13.0,4164468,19.69,2.4,17061.0,2959.0,208.1
PE,94,105,14,14.9,9562007,10.98,1.46,45653.0,3815.0,434.8
PI,57,65,3,5.3,3384547,19.2,0.89,2853.0,852.0,43.9
PR,162,175,12,7.4,11890517,14.72,1.01,53119.0,10831.0,303.5
RJ,173,200,14,8.1,17223547,11.61,0.81,67195.0,19702.0,336.0
RN,25,28,3,12.0,3455236,8.1,0.87,12279.0,5037.0,438.5
RO,32,34,5,15.6,1751950,19.41,2.85,2884.0,163.0,84.8
RR,3,3,0,0.0,738772,4.06,0.0,657.0,0.0,219.0
RS,171,189,12,7.0,11233263,16.83,1.07,37570.0,14436.0,198.8
SC,154,166,14,9.1,8187029,20.28,1.71,46432.0,7936.0,279.7
SE,21,27,2,9.5,2299425,11.74,0.87,6267.0,1194.0,232.1
SP,385,446,32,8.3,46081801,9.68,0.69,357508.0,45123.0,801.6
TO,36,39,5,13.9,1586859,24.58,3.15,1184.0,1729.0,30.4
