uf,angioplastia_qtd,angioplastia_r$,revasc_qtd,revasc_r$,estab_invasivos
AC,488.0,2879183.83,96.0,2107829.74,1.0
AL,761.0,6055624.53,311.0,7093212.55,4.0
AM,589.0,3881984.34,214.0,4571831.6,1.0
AP,654.0,4198118.53,47.0,1126699.67,1.0
BA,1953.0,15424952.49,391.0,8460599.51,13.0
CE,5938.0,44423484.57,784.0,17662623.86,8.0
DF,1952.0,14448499.61,442.0,10961913.46,3.0
ES,3172.0,23968890.74,656.0,15085376.34,6.0
GO,5854.0,44032093.55,533.0,12885605.709999999,10.0
MA,1354.0,9743752.52,221.0,5141624.97,2.0
MG,17456.0,149147675.88,2803.0,78272745.0,46.0
MS,1481.0,12944019.77,184.0,5647785.57,4.0
MT,1564.0,10853966.04,228.0,5346995.74,4.0
PA,1519.0,10017754.35,714.0,18162315.1,5.0
PB,2566.0,25629964.490000002,733.0,27882825.07,9.0
PE,4747.0,36854520.79,251.0,5871738.87,9.0
PI,635.0,4420134.79,416.0,8678154.6,5.0
PR,13332.0,105749740.07,3507.0,107452854.02,23.0
RJ,10809.0,79871856.48,1749.0,40575055.39,19.0
RN,1179.0,8336243.96,774.0,16722649.01,4.0
RO,314.0,2908367.01,5.0,138846.55,1.0
RR,0.0,0.0,0.0,0.0,0.0
RS,12548.0,88996111.01,1433.0,34621309.24,22.0
SC,9361.0,73279241.57,1200.0,32534029.79,16.0
SE,1116.0,8984561.21,194.0,4838886.2700000005,1.0
SP,31783.0,240236174.56,5251.0,127611326.48,54.0
TO,809.0,5786083.22,153.0,3858830.97,2.0
